state,city,region_id,region_name,school_count,program_count,avg_student_size,avg_in_state_tuition,avg_out_of_state_tuition,avg_cost_of_attendance,avg_net_price
FL,Live Oak,5,Southeast,1,20,241.0,,,,8836.0
FL,Madison,5,Southeast,1,20,817.0,3054.0,11400.0,8897.0,1799.0
FL,Maitland,5,Southeast,1,2,211.0,,,,29879.0
FL,Margate,5,Southeast,2,11,150.0,,,,28913.31
FL,Marianna,5,Southeast,1,25,1218.0,3120.0,8950.0,8804.0,832.0
FL,Melbourne,5,Southeast,4,106,5121.52,26899.6,29245.51,40600.77,24546.51
FL,Merritt Island,5,Southeast,1,2,121.0,,,,19226.0
FL,Miami,5,Southeast,36,174,19085.14,12302.47,19103.54,25832.54,15249.18
FL,Miami Beach,5,Southeast,3,5,42.38,14621.43,14621.43,28771.43,18154.0
FL,Miami Gardens,5,Southeast,2,70,1755.18,29868.78,29868.78,44184.12,22522.33
FL,Miami Lakes,5,Southeast,3,16,510.82,26700.0,26700.0,25822.0,10681.91
FL,Miami Springs,5,Southeast,2,6,288.0,,,,28535.0
FL,Milton,5,Southeast,1,16,235.0,,,,5888.0
FL,Miramar,5,Southeast,2,7,121.91,,,,23689.27
FL,Naples,5,Southeast,2,25,767.0,,,,12241.0
FL,New Port Richey,5,Southeast,3,43,5570.91,3155.0,12032.0,11152.0,6151.35
FL,Niceville,5,Southeast,1,40,3193.0,3246.0,11625.0,12217.0,5554.0
FL,Oakland Park,5,Southeast,2,2,66.0,,,,9738.0
FL,Ocala,5,Southeast,4,56,3223.89,9155.93,12873.55,21675.98,14356.22
FL,Ocoee,5,Southeast,1,16,607.0,,,,10256.0
FL,Orange Park,5,Southeast,2,11,291.46,14386.0,14386.0,29665.0,23674.54
FL,Orlando,5,Southeast,15,147,34520.76,7880.81,18868.78,22454.12,13684.44
FL,Ormond Beach,5,Southeast,1,6,199.0,,,,
FL,Oviedo,5,Southeast,1,1,133.0,,,,18877.0
FL,Palatka,5,Southeast,1,30,3909.0,2830.0,10352.0,12215.0,5808.0
FL,Palm Coast,5,Southeast,1,10,91.0,,,,
FL,Panama City,5,Southeast,2,51,3027.84,2370.0,8635.0,12208.0,2862.71
FL,Parkland,5,Southeast,1,2,205.0,,,,16991.0
FL,Pembroke Pines,5,Southeast,4,20,134.4,11627.14,11627.14,33847.0,31571.27
FL,Pensacola,5,Southeast,6,94,7093.8,5326.64,15710.56,15960.63,7146.14
FL,Perry,5,Southeast,1,11,160.0,,,,12558.0
FL,Plantation,5,Southeast,2,1,138.5,,,,23874.5
